Dice => [3, 3]
Dice => [1, 6]
Dice => [1, 2]
Dice => [6, 4]
Dice => [4, 5]
Dice => [6, 6]
Dice => [4, 3]
Dice => [2, 6]
Dice => [6, 3]
Dice => [2, 2]
Dice => [4, 6]
Dice => [1, 1]
Dice => [6, 5]
Dice => [2, 4]
Dice => [5, 3]
Dice => [6, 5]
Dice => [4, 2]
Dice => [6, 6]
Dice => [6, 6]
Dice => [4, 1]
Dice => [6, 1]
Dice => [2, 3]
Dice => [5, 6]
Dice => [2, 5]
Dice => [6, 2]
Dice => [2, 3]
Dice => [2, 5]
Dice => [5, 1]
Dice => [1, 2]
Dice => [1, 4]
Dice => [5, 2]
Dice => [3, 3]
Dice => [2, 4]
Dice => [6, 1]
Dice => [3, 1]
Dice => [4, 5]
Dice => [2, 5]
Dice => [6, 2]
Dice => [4, 1]
Dice => [1, 6]
Dice => [5, 1]
Chance Card => building_loan_matures
Chance Card => go_back_three_spaces
Chance Card => building_loan_matures
New-York-Avenue is classified as real_estate
New-York-Avenue is colored as Orange
New-York-Avenue is price-1-house at 100
New-York-Avenue is rented-1-hotel at 1000
New-York-Avenue is rented-0-house at 16
New-York-Avenue is rented-1-house at 80
New-York-Avenue is rented-2-house at 220
New-York-Avenue is rented-3-house at 600
New-York-Avenue is rented-4-house at 800
New-York-Avenue is mortgaged at 100
New-York-Avenue is priced at 200
Free-Parking is located at 20
Free-Parking is classified as do_nothing
Kentucky-Avenue is located at 21
Kentucky-Avenue is classified as real_estate
Kentucky-Avenue is colored as Red
Kentucky-Avenue is price-1-house at 150
Kentucky-Avenue is rented-1-hotel at 1050
Kentucky-Avenue is rented-0-house at 18
Kentucky-Avenue is rented-1-house at 90
Kentucky-Avenue is rented-2-house at 250
Kentucky-Avenue is rented-3-house at 700
Kentucky-Avenue is rented-4-house at 875
Kentucky-Avenue is mortgaged at 110
Kentucky-Avenue is priced at 220
Indiana-Avenue is located at 23
Indiana-Avenue is classified as real_estate
Indiana-Avenue is colored as Red
Indiana-Avenue is price-1-house at 150
Indiana-Avenue is rented-1-hotel at 1050
Indiana-Avenue is rented-0-house at 18
Indiana-Avenue is rented-1-house at 90
Indiana-Avenue is rented-2-house at 250
Indiana-Avenue is rented-3-house at 700
Indiana-Avenue is rented-4-house at 875
Indiana-Avenue is mortgaged at 110
Indiana-Avenue is priced at 220
Illinois-Avenue is located at 24
Illinois-Avenue is classified as real_estate
Illinois-Avenue is colored as Red
Illinois-Avenue is price-1-house at 150
Illinois-Avenue is rented-1-hotel at 1100
Illinois-Avenue is rented-0-house at 20
Illinois-Avenue is rented-1-house at 100
Illinois-Avenue is rented-2-house at 300
Illinois-Avenue is rented-3-house at 750
Illinois-Avenue is rented-4-house at 925
Illinois-Avenue is mortgaged at 120
Illinois-Avenue is priced at 240
B-O-Railroad is located at 25
B-O-Railroad is classified as railroad
B-O-Railroad is mortgaged at 100
B-O-Railroad is priced at 200
Water-Works is located at 28
Water-Works is classified as utility
Water-Works is mortgaged at 75
Water-Works is priced at 150
Marvin-Gardens is located at 29
Marvin-Gardens is classified as real_estate
Marvin-Gardens is colored as Yellow
Marvin-Gardens is price-1-house at 150
Marvin-Gardens is rented-1-hotel at 1200
Marvin-Gardens is rented-0-house at 24
Marvin-Gardens is rented-1-house at 120
Marvin-Gardens is rented-2-house at 360
Marvin-Gardens is rented-3-house at 850
Marvin-Gardens is rented-4-house at 1025
Marvin-Gardens is mortgaged at 140
Marvin-Gardens is priced at 280
Pacific-Avenue is located at 31
Pacific-Avenue is classified as real_estate
Pacific-Avenue is colored as Green
Pacific-Avenue is price-1-house at 200
Pacific-Avenue is rented-1-hotel at 1275
Pacific-Avenue is rented-0-house at 26
Pacific-Avenue is rented-1-house at 130
Pacific-Avenue is rented-2-house at 390
Pacific-Avenue is rented-3-house at 900
Pacific-Avenue is rented-4-house at 1100
Pacific-Avenue is mortgaged at 150
Pacific-Avenue is priced at 300
North-Carolina-Avenue is located at 32
North-Carolina-Avenue is classified as real_estate
North-Carolina-Avenue is colored as Green
North-Carolina-Avenue is price-1-house at 200
North-Carolina-Avenue is rented-1-hotel at 1275
North-Carolina-Avenue is rented-0-house at 26
North-Carolina-Avenue is rented-1-house at 130
North-Carolina-Avenue is rented-2-house at 390
North-Carolina-Avenue is rented-3-house at 900
North-Carolina-Avenue is rented-4-house at 1100
North-Carolina-Avenue is mortgaged at 150
North-Carolina-Avenue is priced at 300
Community-Chest is located at 33
Community-Chest is classified as action
Pennsylvania-Avenue is located at 34
Pennsylvania-Avenue is classified as real_estate
Pennsylvania-Avenue is colored as Green
Pennsylvania-Avenue is price-1-house at 200
Pennsylvania-Avenue is rented-1-hotel at 1400
Pennsylvania-Avenue is rented-0-house at 28
Pennsylvania-Avenue is rented-1-house at 150
Pennsylvania-Avenue is rented-2-house at 450
Pennsylvania-Avenue is rented-3-house at 1000
Pennsylvania-Avenue is rented-4-house at 1200
Pennsylvania-Avenue is mortgaged at 160
Pennsylvania-Avenue is priced at 320
Short-Line is located at 35
Short-Line is classified as railroad
Short-Line is mortgaged at 100
Short-Line is priced at 200
GO is incremtent as 200
GO is located at 0
